id,host_id,latitude,longitude,price,minimum_nights,calculated_host_listings_count,accommodates,bedrooms,bathrooms,beds,security_deposit,cleaning_fee,extra_people,maximum_nights,availability_30,amenities_number,neighbourhood_Bijlmer-Centrum,neighbourhood_Bijlmer-Oost,neighbourhood_Bos en Lommer,neighbourhood_Buitenveldert - Zuidas,neighbourhood_Centrum-Oost,neighbourhood_Centrum-West,neighbourhood_De Aker - Nieuw Sloten,neighbourhood_De Baarsjes - Oud-West,neighbourhood_De Pijp - Rivierenbuurt,neighbourhood_Gaasperdam - Driemond,neighbourhood_Geuzenveld - Slotermeer,neighbourhood_IJburg - Zeeburgereiland,neighbourhood_Noord-Oost,neighbourhood_Noord-West,neighbourhood_Oostelijk Havengebied - Indische Buurt,neighbourhood_Osdorp,neighbourhood_Oud-Noord,neighbourhood_Oud-Oost,neighbourhood_Slotervaart,neighbourhood_Watergraafsmeer,neighbourhood_Westerpark,neighbourhood_Zuid,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,property_type_Apartment,property_type_House,property_type_Other,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict_14_with_grace_period,cancellation_policy_super_strict_60
2818,3159,52.36575451387618,4.941419235184398,59,3,1,2,1.0,1.5,2.0,100.0,50.0,20.0,15,17,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
3209,3806,52.39022505041117,4.873924094742859,160,4,1,4,2.0,1.0,2.0,300.0,40.0,15.0,20,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
20168,59484,52.36508702680917,4.8935410078410095,80,1,2,2,1.0,1.0,1.0,0.0,0.0,0.0,1000,0,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
25428,56142,52.37311440038617,4.883668196205626,125,14,2,3,1.0,1.0,1.0,300.0,40.0,10.0,60,2,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
27886,97647,52.386727316124684,4.892078070089338,150,2,1,2,1.0,1.0,1.0,0.0,0.0,0.0,730,16,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
28658,123414,52.37534217754822,4.857289350245441,65,3,2,2,1.0,1.0,2.0,150.0,15.0,0.0,15,11,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
28871,124245,52.367186808186005,4.8909177971296565,75,2,3,2,1.0,1.0,1.0,0.0,0.0,0.0,1825,3,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
29051,124245,52.367725410445736,4.891511737154662,55,2,3,1,1.0,1.0,1.0,0.0,0.0,0.0,730,1,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
31080,133488,52.3513205418674,4.84838289937379,219,3,1,4,3.0,1.0,3.0,0.0,60.0,30.0,365,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0
41125,178515,52.3789147700269,4.8832050564993645,180,3,1,2,1.0,0.0,1.0,150.0,40.0,75.0,21,8,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
42970,187580,52.36781447589647,4.890012023439633,159,3,2,2,1.0,1.0,1.0,300.0,35.0,0.0,1100,14,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
43980,65041,52.3574562838326,4.861242085387215,100,28,2,2,1.0,1.0,2.0,300.0,50.0,0.0,365,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
44129,187728,52.380711229831924,4.886104318098604,250,2,4,3,1.0,1.5,1.0,100.0,60.0,30.0,1125,16,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
44391,194779,52.37016998640934,4.914377826765493,200,3,1,4,2.0,1.0,3.0,0.0,50.0,0.0,730,0,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
45246,200188,52.37767639657083,4.876178648987073,155,3,1,2,1.0,1.0,1.0,0.0,0.0,20.0,365,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
46386,207342,52.35247025928299,4.908254440320653,150,3,1,2,1.0,1.0,1.0,250.0,50.0,50.0,1825,0,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
47061,211696,52.36798609885809,4.874469331907506,140,2,1,3,2.0,1.0,2.0,250.0,0.0,25.0,60,0,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
48076,219080,52.3804200178011,4.894534735097551,350,5,2,4,3.0,2.0,4.0,0.0,0.0,50.0,30,12,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
49790,227530,52.362663786120464,4.861031740012395,225,3,1,4,2.0,1.0,2.0,400.0,50.0,50.0,365,13,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
50515,231864,52.37727239832183,4.839252562940868,120,3,1,4,3.0,1.0,3.0,100.0,75.0,45.0,15,3,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
50518,231806,52.38200613161477,4.878649621335048,125,1,1,2,1.0,1.0,1.0,0.0,30.0,50.0,1120,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
50523,231946,52.36840789766318,4.884133704990546,115,2,1,2,1.0,1.0,2.0,0.0,0.0,0.0,365,8,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
